asjc,top,middle,low
1000,General,General,General
1100,Life Sciences,Agricultural and Biological Sciences,Agricultural and Biological Sciences(all)
1101,Life Sciences,Agricultural and Biological Sciences,Agricultural and Biological Sciences (miscellaneous)
1102,Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science
1103,Life Sciences,Agricultural and Biological Sciences,Animal Science and Zoology
1104,Life Sciences,Agricultural and Biological Sciences,Aquatic Science
1105,Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics"
1106,Life Sciences,Agricultural and Biological Sciences,Food Science
1107,Life Sciences,Agricultural and Biological Sciences,Forestry
1108,Life Sciences,Agricultural and Biological Sciences,Horticulture
1109,Life Sciences,Agricultural and Biological Sciences,Insect Science
1110,Life Sciences,Agricultural and Biological Sciences,Plant Science
1111,Life Sciences,Agricultural and Biological Sciences,Soil Science
1200,Social Sciences,Arts and Humanities,Arts and Humanities(all)
1201,Social Sciences,Arts and Humanities,Arts and Humanities (miscellaneous)
1202,Social Sciences,Arts and Humanities,History
1203,Social Sciences,Arts and Humanities,Language and Linguistics
1204,Social Sciences,Arts and Humanities,Archaeology
1205,Social Sciences,Arts and Humanities,Classics
1206,Social Sciences,Arts and Humanities,Conservation
1207,Social Sciences,Arts and Humanities,History and Philosophy of Science
1208,Social Sciences,Arts and Humanities,Literature and Literary Theory
1209,Social Sciences,Arts and Humanities,Museology
1210,Social Sciences,Arts and Humanities,Music
1211,Social Sciences,Arts and Humanities,Philosophy
1212,Social Sciences,Arts and Humanities,Religious studies
1213,Social Sciences,Arts and Humanities,Visual Arts and Performing Arts
1300,Life Sciences,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology(all)"
1301,Life Sciences,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology (miscellaneous)"
1302,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Ageing
1303,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry
1304,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics
1305,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology
1306,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research
1307,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology
1308,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry
1309,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology
1310,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology
1311,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics
1312,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology
1313,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine
1314,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology
1315,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology
1400,Social Sciences,"Business, Management and Accounting","Business, Management and Accounting(all)"
1401,Social Sciences,"Business, Management and Accounting","Business, Management and Accounting (miscellaneous)"
1402,Social Sciences,"Business, Management and Accounting",Accounting
1403,Social Sciences,"Business, Management and Accounting",Business and International Management
1404,Social Sciences,"Business, Management and Accounting",Management Information Systems
1405,Social Sciences,"Business, Management and Accounting",Management of Technology and Innovation
1406,Social Sciences,"Business, Management and Accounting",Marketing
1407,Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management
1408,Social Sciences,"Business, Management and Accounting",Strategy and Management
1409,Social Sciences,"Business, Management and Accounting","Tourism, Leisure and Hospitality Management"
1410,Social Sciences,"Business, Management and Accounting",Industrial relations
1500,Physical Sciences,Chemical Engineering,Chemical Engineering(all)
1501,Physical Sciences,Chemical Engineering,Chemical Engineering (miscellaneous)
1502,Physical Sciences,Chemical Engineering,Bioengineering
1503,Physical Sciences,Chemical Engineering,Catalysis
1504,Physical Sciences,Chemical Engineering,Chemical Health and Safety
1505,Physical Sciences,Chemical Engineering,Colloid and Surface Chemistry
1506,Physical Sciences,Chemical Engineering,Filtration and Separation
1507,Physical Sciences,Chemical Engineering,Fluid Flow and Transfer Processes
1508,Physical Sciences,Chemical Engineering,Process Chemistry and Technology
1600,Physical Sciences,Chemistry,Chemistry(all)
1601,Physical Sciences,Chemistry,Chemistry (miscellaneous)
1602,Physical Sciences,Chemistry,Analytical Chemistry
1603,Physical Sciences,Chemistry,Electrochemistry
1604,Physical Sciences,Chemistry,Inorganic Chemistry
1605,Physical Sciences,Chemistry,Organic Chemistry
